cm_bin;n_child;religion;st_o_lv;med_exp;age;edu_hus;work;edu
1;1;1;3;1;23;4;0;4
1;2;1;4;1;23;3;1;3
0;1;1;4;1;31;2;0;3
1;7;1;4;1;47;2;0;2
0;4;1;3;1;26;3;0;4
1;2;0;3;1;30;4;1;4
1;3;1;2;1;27;3;0;3
1;7;1;4;1;44;4;0;4
1;1;1;1;0;21;2;0;3
0;1;1;1;1;26;3;0;1
0;8;1;2;0;43;2;0;1
0;0;1;2;1;22;4;0;4
1;3;1;2;1;26;2;1;1
1;5;1;3;1;43;3;1;3
1;1;1;4;1;22;4;0;3
0;2;1;3;1;38;4;0;3
0;6;1;2;1;37;3;0;3
1;4;1;3;1;32;3;0;1
1;2;1;4;1;29;4;0;4
0;4;1;4;1;29;4;0;3
0;2;1;4;1;36;3;1;3
1;3;1;3;1;25;4;0;3
0;4;1;1;1;30;2;0;1
0;4;1;4;1;24;4;0;4
0;5;0;4;1;47;1;0;2
0;4;1;2;1;32;4;0;2
1;5;1;3;1;33;4;0;4
0;0;1;3;1;45;4;0;3
1;1;1;4;1;22;4;1;4
0;4;1;3;1;47;3;0;2
0;2;1;3;1;31;3;1;3
0;0;1;3;1;22;4;0;2
1;4;1;4;1;35;4;1;3
1;3;1;4;1;42;4;1;4
0;8;1;4;1;43;2;0;1
0;6;1;1;1;47;1;1;1
1;4;1;4;1;41;4;0;4
0;4;1;4;1;36;4;0;4
1;3;1;4;1;39;4;1;4
1;2;0;4;1;40;4;0;3
1;3;1;4;1;45;4;0;4
1;4;1;4;1;45;4;0;4
0;2;1;2;1;33;3;0;2
1;2;1;4;1;27;4;0;4
0;8;1;3;1;40;4;0;3
1;8;1;3;1;45;3;0;3
1;5;0;3;1;42;4;0;2
1;1;1;2;0;24;4;1;1
0;3;1;3;1;47;4;0;3
0;9;1;3;1;42;2;0;3
1;7;1;3;1;31;3;0;2
1;3;1;3;1;30;4;0;3
0;0;0;1;1;45;1;1;1
1;5;1;4;1;27;3;0;3
1;5;1;3;1;32;3;1;2
1;2;1;3;1;26;3;0;2
1;3;0;4;1;34;4;0;3
0;2;1;3;1;26;3;0;2
0;2;1;4;1;44;2;0;1
1;4;1;3;1;34;4;0;2
1;1;1;3;1;22;4;0;2
1;4;1;4;1;35;2;1;1
0;1;1;4;1;27;3;1;2
1;3;1;4;1;28;3;1;3
0;6;0;4;1;49;4;1;4
1;1;0;1;1;22;4;0;4
1;1;0;4;1;27;4;0;4
1;1;1;4;1;24;4;0;4
1;2;1;4;1;28;4;0;4
0;8;1;1;1;43;2;1;1
1;3;0;4;1;42;4;0;4
1;4;1;1;1;30;2;0;2
1;5;1;4;1;28;2;1;2
1;3;0;3;1;30;4;0;3
1;1;0;4;1;26;4;0;4
1;6;1;2;1;43;3;1;3
1;4;1;4;1;30;2;0;2
1;5;1;3;1;24;3;0;2
0;1;1;3;1;45;4;0;4
1;2;1;2;1;30;4;1;4
1;3;0;4;1;35;4;1;4
1;1;1;3;1;26;4;1;4
0;4;0;4;1;32;3;0;2
0;1;1;3;1;19;4;0;3
1;3;1;4;1;43;4;0;4
1;5;1;4;1;41;3;0;3
0;0;1;2;1;24;4;1;4
0;2;1;3;0;38;3;1;1
1;2;1;4;1;23;4;1;4
0;2;1;1;1;19;2;0;2
0;2;1;4;1;45;4;1;2
1;3;1;3;1;36;4;0;4
1;6;1;3;1;34;4;0;2
1;3;1;3;1;24;4;0;2
0;1;1;4;1;25;4;0;4
0;1;1;4;1;28;4;0;3
0;5;1;4;1;38;3;0;3
1;4;0;4;1;35;4;1;4
1;1;1;3;1;21;3;0;3
0;3;1;2;1;25;4;0;4
0;1;1;2;1;20;4;0;3
1;3;1;4;1;39;4;0;4
0;10;1;3;1;46;4;0;4
0;7;0;4;1;49;4;0;4
0;1;1;3;1;32;3;0;2
1;5;0;4;1;32;4;0;3
0;2;1;4;1;35;4;1;4
0;1;1;4;1;39;4;0;4
0;2;1;3;1;23;2;0;2
0;0;1;4;1;29;4;1;2
1;1;1;3;1;22;4;0;4
1;3;1;3;1;26;3;0;3
0;2;1;2;1;24;4;0;3
0;6;1;4;1;44;4;0;3
1;2;1;3;1;21;4;0;4
0;1;1;3;1;24;4;0;4
1;7;1;4;1;42;3;1;4
1;3;1;1;1;21;4;0;3
1;1;1;4;1;25;4;0;4
0;2;1;3;1;26;4;0;3
1;5;1;4;1;41;3;1;4
0;9;1;4;1;49;4;0;3
1;2;1;2;1;25;4;0;4
0;4;1;1;1;47;2;0;2
1;3;1;4;1;26;4;0;3
0;5;1;2;1;42;3;0;3
0;2;1;4;1;47;4;0;4
0;1;1;1;1;25;4;0;3
0;5;1;1;1;47;3;0;2
0;1;1;4;1;21;4;0;4
1;1;1;2;1;39;3;1;4
1;6;1;4;1;38;4;0;4
0;1;1;3;1;16;4;0;3
1;2;1;3;1;25;3;0;3
0;1;1;3;1;20;3;0;3
0;6;1;2;0;40;2;0;2
0;4;1;3;1;45;4;0;4
0;2;1;2;1;19;3;0;3
0;1;1;3;1;26;4;0;4
1;4;1;3;1;32;4;0;4
1;5;1;4;1;42;4;0;4
0;2;1;2;1;23;3;0;3
1;2;1;2;1;30;2;0;2
1;4;1;4;1;33;4;1;3
1;2;1;2;0;20;3;0;3
1;6;1;4;1;35;4;0;2
0;3;1;4;1;26;4;0;2
0;5;1;3;1;33;4;0;4
1;6;1;4;1;34;4;0;4
1;2;1;4;1;25;3;0;2
1;1;1;2;1;21;2;0;2
1;6;1;3;1;35;3;0;2
0;1;1;1;1;25;3;1;2
0;2;1;4;1;31;4;0;3
1;3;1;2;0;27;2;0;2
0;2;1;4;1;24;4;0;3
1;4;0;4;1;41;4;1;4
1;1;0;3;1;25;4;0;4
1;5;1;4;1;41;4;1;1
0;3;1;3;1;25;2;0;2
0;8;1;3;1;48;4;0;3
1;5;1;2;1;32;4;0;3
0;1;1;4;1;26;4;1;4
1;1;1;2;1;20;4;0;3
0;3;1;4;1;44;4;0;4
1;5;1;4;1;28;4;0;3
0;1;0;4;1;39;4;0;3
0;6;1;3;0;48;1;0;1
1;6;1;2;1;44;4;0;3
0;3;1;1;1;28;1;0;1
1;3;1;4;1;33;4;0;2
0;0;1;4;1;26;4;0;4
0;3;1;4;1;24;2;0;2
0;1;1;3;1;18;3;0;2
1;3;1;4;1;25;4;0;3
1;5;1;4;1;37;4;0;4
1;3;1;2;1;29;3;1;2
0;1;1;3;0;45;3;0;1
0;2;1;1;1;25;2;0;2
0;1;0;2;1;28;4;0;3
1;1;0;4;1;29;3;1;3
1;3;1;3;1;25;3;0;3
1;2;1;3;1;21;3;0;3
0;1;1;2;1;25;3;0;3
0;6;1;4;1;49;3;0;1
1;2;1;4;1;32;4;0;4
1;5;1;4;1;35;4;0;3
0;5;0;4;1;37;3;1;2
1;3;1;3;1;23;3;0;4
1;3;1;4;1;44;4;1;4
1;10;1;3;1;47;1;0;1
0;12;1;3;1;42;3;0;1
1;1;1;4;1;24;4;0;4
0;0;1;4;1;22;4;1;3
1;4;1;4;1;42;4;0;4
1;7;1;2;0;36;2;1;2
1;5;1;4;1;35;4;0;4
0;0;1;4;1;29;4;1;4
1;2;1;4;1;26;4;1;4
1;4;1;3;1;24;4;0;3
0;4;0;4;1;48;4;0;4
0;1;0;4;1;27;4;0;4
1;11;1;4;0;36;4;0;2
0;1;1;3;1;29;4;0;4
0;2;0;4;1;45;4;0;3
1;2;1;4;1;33;4;1;4
1;1;1;2;1;21;4;0;3
1;2;0;4;1;40;4;1;4
1;3;1;3;1;37;4;0;3
1;2;1;4;1;38;4;0;4
1;6;1;4;1;37;4;1;4
1;6;1;4;1;34;3;0;3
1;4;1;3;1;36;3;0;3
1;2;1;1;1;24;3;0;2
0;7;1;1;1;38;3;0;3
1;3;1;4;1;44;4;0;4
1;1;1;3;1;29;3;0;3
1;2;1;2;1;28;3;0;4
1;2;1;3;1;21;4;0;4
1;1;1;3;1;26;4;1;4
0;1;1;4;1;45;4;0;4
1;4;1;4;1;37;4;0;4
1;4;1;4;1;26;4;0;3
0;4;1;4;1;37;4;1;3
0;0;1;4;1;31;4;1;4
0;2;0;4;1;40;4;0;4
1;2;1;3;1;25;4;0;4
1;2;1;1;1;23;3;0;2
1;5;1;2;1;29;4;0;3
1;1;1;4;1;30;4;0;4
1;3;0;4;1;37;4;0;4
1;6;1;2;0;35;2;0;1
0;0;1;1;1;28;4;1;1
0;2;1;4;1;31;4;0;3
1;4;1;2;0;27;4;0;4
1;3;0;4;1;45;4;0;4
1;6;1;2;1;36;3;0;1
1;8;1;4;1;37;3;0;4
0;5;1;3;1;36;4;0;2
0;4;1;4;1;27;4;0;2
0;1;1;4;1;16;4;0;2
0;0;1;3;0;49;3;0;1
0;1;0;4;1;32;4;0;3
0;0;1;2;1;23;2;0;3
1;3;1;3;1;41;4;1;4
1;3;1;4;0;25;4;0;2
1;2;1;2;1;27;4;0;3
1;3;0;4;1;31;4;0;4
0;1;1;4;1;49;4;0;4
1;3;1;4;1;36;4;1;4
0;1;0;3;1;29;4;0;3
0;1;0;3;1;34;4;1;4
1;5;0;4;1;35;4;1;4
0;10;1;4;1;45;3;0;1
1;3;1;4;1;28;3;0;2
1;2;1;4;1;26;4;1;3
0;2;1;3;1;27;4;0;3
1;4;1;3;1;28;4;0;4
0;5;1;2;0;49;2;1;1
0;2;1;2;1;25;4;0;4
1;2;1;3;1;22;2;0;2
0;5;1;4;1;35;4;0;4
0;2;1;3;1;27;3;0;2
1;2;1;4;1;24;4;0;4
1;0;0;4;1;21;2;0;2
1;5;0;3;1;33;4;0;3
0;0;1;3;1;33;2;1;1
1;5;1;4;1;39;4;0;4
0;1;1;3;0;48;1;1;1
1;2;1;4;1;25;4;0;4
1;1;1;4;1;29;4;1;4
1;5;0;3;1;45;3;0;3
1;2;1;4;1;35;4;0;4
0;4;1;2;1;30;3;1;2
0;8;1;3;0;38;2;0;1
0;7;1;3;1;34;3;1;2
0;0;0;4;1;19;4;0;4
1;11;1;4;1;44;4;0;4
0;0;1;2;1;20;4;0;2
1;1;0;4;1;28;4;1;4
1;3;1;3;1;23;4;0;4
1;4;1;2;1;33;3;1;3
1;1;1;4;1;28;4;0;4
1;2;1;4;1;22;4;0;4
0;5;1;1;1;28;4;0;4
0;3;1;1;1;24;2;1;2
0;2;1;4;1;47;3;0;3
1;5;1;3;1;35;3;0;2
1;2;1;1;1;22;2;0;3
1;6;1;4;1;25;4;0;2
1;4;1;2;1;32;3;1;2
0;7;1;1;0;46;2;0;1
1;3;0;3;0;38;4;1;4
1;4;1;2;1;25;3;1;2
0;3;1;4;1;29;3;1;3
0;2;1;1;1;33;2;0;2
1;4;1;4;1;30;3;0;1
0;0;1;4;1;20;4;1;3
0;3;1;2;1;31;4;1;3
1;3;0;4;1;36;4;0;4
1;2;1;4;1;20;3;0;3
